step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
228,0.81557,0.68889,,
229,0.91674,0.67778,,
230,0.89607,0.71111,,
231,0.90132,0.67778,,
232,1.11036,0.63333,,
233,0.79701,0.7,,
234,0.99067,0.61111,,
235,0.91042,0.73333,,
236,0.8335,0.65556,,
237,1.02482,0.61111,,
238,1.01653,0.64444,,
239,0.86168,0.73333,,
240,0.98486,0.65556,,
241,0.83304,0.71111,,
242,0.96142,0.67778,,
243,0.91848,0.68889,,
244,0.66393,0.81111,,
245,0.96731,0.67778,,
246,0.81297,0.71111,,
247,0.91022,0.7,,
248,0.81517,0.72222,,
249,0.96563,0.62222,,
250,1.10347,0.62222,,
251,0.88313,0.71111,,
252,0.83098,0.68889,,
253,0.97395,0.6,,
254,0.90719,0.68889,,
255,0.82016,0.64444,,
256,0.79651,0.71111,,
257,0.81527,0.7,,
258,0.94324,0.68889,,
259,1.01903,0.63333,,
260,0.80699,0.73333,,
261,0.73065,0.74444,,
262,0.79903,0.68889,,
263,0.93435,0.64444,,
264,0.90342,0.65556,,
265,0.74227,0.77778,,
266,0.80526,0.7,,
267,0.85547,0.7,,
268,0.84895,0.66667,,
269,0.91176,0.73333,,
270,0.57977,0.82222,,
271,0.95632,0.64444,,
272,0.99825,0.62222,,
273,0.98819,0.66667,,
274,0.80473,0.73333,,
275,0.90655,0.71111,,
276,0.71686,0.76667,,
277,0.8122,0.71111,,
278,0.84816,0.68889,,
279,0.87863,0.71111,,
280,1.03328,0.6,,
281,0.79811,0.73333,,
282,0.73898,0.71111,,
283,1.03209,0.63333,,
284,0.59044,0.76667,,
285,0.87398,0.71111,,
286,1.07297,0.65556,,
287,1.14903,0.57778,,
288,0.68291,0.75556,,
289,0.77646,0.71111,,
290,0.9649,0.64444,,
291,0.71702,0.73333,,
292,0.78432,0.73333,,
293,0.80059,0.73333,,
294,0.81645,0.74444,,
295,0.77566,0.71111,,
296,0.93573,0.68889,,
297,0.96667,0.65556,,
298,0.97049,0.64444,,
299,0.81278,0.71111,,
300,0.93589,0.67778,0.88891,0.71111
301,0.96198,0.64444,,
302,0.78982,0.71111,,
303,0.82217,0.72222,,
304,0.87299,0.68889,,
305,0.79878,0.7,,
306,0.86641,0.7,,
307,1.02265,0.62222,,
308,0.89465,0.68889,,
309,1.0285,0.61111,,
310,0.89781,0.71111,,
311,0.94262,0.71111,,
312,0.89615,0.65556,,
313,0.8357,0.68889,,
314,0.69377,0.75556,,
315,0.83502,0.73333,,
316,0.94729,0.66667,,
317,0.89281,0.66667,,
318,1.06767,0.61111,,
319,0.95084,0.63333,,
320,0.92403,0.66667,,
321,0.84924,0.74444,,
322,0.72922,0.78889,,
323,0.80637,0.73333,,
324,0.72029,0.78889,,
325,0.85961,0.68889,,
326,0.82875,0.73333,,
327,0.9337,0.65556,,
328,0.88,0.72222,,
329,0.71284,0.75556,,
330,0.85838,0.68889,,
331,0.74254,0.73333,,
332,0.91779,0.68889,,
333,0.82657,0.73333,,
334,0.98559,0.61111,,
335,0.94151,0.62222,,
336,0.75304,0.72222,,
337,0.88296,0.67778,,
338,0.80112,0.66667,,
339,0.80577,0.74444,,
340,0.88061,0.73333,,
341,0.7019,0.78889,,
342,0.86621,0.71111,,
343,0.84937,0.67778,,
344,0.93194,0.7,,
345,0.85317,0.68889,,
346,0.89742,0.61111,,
347,0.84375,0.66667,,
348,0.7355,0.74444,,
349,0.88496,0.73333,,
350,0.81493,0.71111,,
351,0.99163,0.61111,,
352,0.93666,0.62222,,
353,0.90727,0.67778,,
354,0.74637,0.73333,,
355,0.90424,0.64444,,
356,0.86192,0.67778,,
357,0.82428,0.67778,,
358,0.8393,0.67778,,
359,1.0005,0.67778,,
360,0.89868,0.66667,,
361,0.83259,0.7,,
362,0.99706,0.65556,,
363,0.9759,0.7,,
364,0.78503,0.74444,,
365,0.9856,0.6,,
366,0.76678,0.71111,,
367,0.82679,0.72222,,
368,1.03348,0.64444,,
369,0.96125,0.64444,,
370,0.8177,0.71111,,
371,0.90864,0.71111,,
372,0.81553,0.7,,
373,0.93722,0.63333,,
374,0.78177,0.73333,,
375,0.7231,0.75556,,
376,0.96914,0.62222,,
377,1.03504,0.63333,,
378,0.97229,0.61111,,
379,0.7374,0.76667,,
380,0.85169,0.68889,,
381,0.83758,0.68889,,
382,0.79389,0.72222,,
383,0.9863,0.66667,,
384,0.89312,0.66667,,
385,0.98519,0.64444,,
386,0.69954,0.78889,,
387,0.73739,0.75556,,
388,0.79113,0.75556,,
389,0.81671,0.71111,,
390,0.69589,0.73333,,
391,0.90799,0.67778,,
392,0.84494,0.71111,,
393,0.8517,0.68889,,
394,0.85669,0.68889,,
395,0.99666,0.6,,
396,0.79812,0.7,,
397,1.02085,0.64444,,
398,0.70396,0.78889,,
399,0.86423,0.65556,,
400,0.86759,0.68889,0.75604,0.73333
401,0.75811,0.7,,
402,0.7922,0.67778,,
403,0.87988,0.68889,,
404,0.79618,0.7,,
405,0.68472,0.78889,,
406,0.80648,0.68889,,
407,0.8035,0.73333,,
408,0.92064,0.67778,,
409,0.88549,0.71111,,
410,0.96331,0.64444,,
411,0.70384,0.74444,,
412,0.86647,0.71111,,
413,0.79903,0.71111,,
414,0.82518,0.7,,
415,0.68576,0.78889,,
416,0.98478,0.62222,,
417,0.85519,0.68889,,
418,0.82154,0.72222,,
419,0.85643,0.73333,,
420,0.92824,0.67778,,
421,0.7079,0.78889,,
422,0.95553,0.6,,
423,0.88474,0.72222,,
424,0.87782,0.67778,,
425,0.93291,0.66667,,
426,0.98345,0.63333,,
427,1.08055,0.58889,,
428,0.84691,0.72222,,
429,0.87955,0.66667,,
430,0.91038,0.68889,,
431,0.73639,0.7,,
432,0.76716,0.71111,,
433,0.64138,0.77778,,
434,0.82832,0.71111,,
435,1.01541,0.7,,
436,0.758,0.75556,,
437,1.09201,0.62222,,
438,0.79992,0.7,,
439,0.75091,0.72222,,
440,0.72957,0.76667,,
441,0.87146,0.7,,
442,0.73651,0.74444,,
443,0.6925,0.74444,,
444,0.90459,0.7,,
445,0.7407,0.73333,,
446,0.88595,0.7,,
447,0.8686,0.71111,,
448,0.95407,0.68889,,
449,0.79618,0.75556,,
450,0.7732,0.73333,,
451,0.74072,0.75556,,
452,0.93308,0.62222,,
453,0.87985,0.68889,,
454,0.90026,0.67778,,
455,0.73975,0.74444,,
456,0.8675,0.72222,,
457,0.83756,0.63333,,
458,0.94096,0.62222,,
459,0.76238,0.72222,,
460,0.8125,0.72222,,
461,0.79996,0.7,,
462,0.83688,0.67778,,
463,0.79722,0.73333,,
464,0.81379,0.68889,,
465,0.72919,0.73333,,
466,0.91676,0.71111,,
467,0.65834,0.78889,,
468,0.98357,0.68889,,
469,0.66719,0.78889,,
470,0.77224,0.74444,,
471,0.83289,0.72222,,
472,1.02602,0.63333,,
473,0.98873,0.62222,,
474,0.73652,0.78889,,
475,0.83477,0.75556,,
476,0.74607,0.74444,,
477,0.80715,0.76667,,
478,0.94222,0.65556,,
479,0.85037,0.68889,,
480,0.9298,0.66667,,
481,0.73514,0.73333,,
482,0.87123,0.65556,,
483,0.87903,0.68889,,
484,0.77164,0.74444,,
485,0.78009,0.72222,,
486,0.83878,0.67778,,
487,0.89271,0.7,,
488,0.99813,0.67778,,
489,1.03147,0.62222,,
490,0.76755,0.73333,,
491,0.78751,0.73333,,
492,0.82772,0.7,,
493,1.11018,0.56667,,
494,0.79794,0.71111,,
495,0.80671,0.74444,,
496,0.97183,0.63333,,
497,0.82465,0.7,,
498,0.88907,0.67778,,
499,0.89371,0.63333,,
500,0.82358,0.66667,0.86906,0.67778
501,0.85613,0.64444,,
502,0.85108,0.7,,
503,0.96711,0.68889,,
504,0.85596,0.68889,,
505,0.85268,0.7,,
506,0.64396,0.75556,,
507,0.84724,0.64444,,
508,0.69263,0.75556,,
509,0.86305,0.65556,,
510,0.75806,0.72222,,
511,0.83847,0.71111,,
512,0.75428,0.74444,,
513,0.92584,0.65556,,
514,0.77709,0.71111,,
515,0.99306,0.65556,,
516,0.70589,0.76667,,
517,0.70646,0.76667,,
518,0.86855,0.7,,
519,0.93519,0.66667,,
520,0.78767,0.75556,,
521,0.82733,0.7,,
522,0.79625,0.7,,
523,0.84947,0.67778,,
524,0.69914,0.73333,,
525,0.85215,0.7,,
526,0.89221,0.66667,,
527,0.82969,0.7,,
528,0.79932,0.67778,,
529,0.97341,0.62222,,
530,0.93114,0.61111,,
531,0.94891,0.7,,
532,0.9458,0.66667,,
533,0.93769,0.64444,,
534,1.14627,0.58889,,
535,0.94485,0.64444,,
536,0.90711,0.65556,,
537,0.8041,0.68889,,
538,0.81656,0.7,,
539,0.88974,0.72222,,
540,0.71803,0.75556,,
541,0.99577,0.67778,,
542,0.77237,0.71111,,
543,0.9657,0.67778,,
544,0.7111,0.75556,,
545,0.99543,0.68889,,
546,0.7024,0.74444,,
